group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Total
Federal revenue changes,Income tax,flow,-14.670400395609027,-26.28908192227334,-40.4797397429684,-55.76359770506478,-72.96501064696287,-87.73871365085007,-102.5844168117469,-117.15631669181529,-132.10889422705273,-147.49677112267776,-163.4392977768939,-179.980776010607,-197.16267330837366,-215.01373563181775,-233.55830958288666,-1786.4077352276001
Federal revenue changes,Payroll (FICA),flow,-14.334586239500112,-25.869119284091298,-40.018096630475,-55.27239649759407,-72.46088917920368,-86.9193383749718,-101.41247765804285,-115.59284796489553,-130.1268951193642,-145.0709473075216,-160.54651976467375,-176.5987131819816,-193.26957650965113,-210.58815736687623,-228.57898994035583,-1756.6595510191985
Federal revenue changes,Corporate recovery,flow,17.195447086832228,28.152167044515505,40.68155127837688,54.78359978841636,70.45831257463395,82.20136467040628,93.94441676617862,105.68746886195096,117.43052095772326,129.17357305349557,140.9166251492679,152.65967724504023,164.40272934081258,176.14578143658488,187.88883353235724,1561.7220687865924
Federal revenue changes,Compute-pool tax,flow,1.2699012543529669,2.0727237664711264,2.9874608685504036,4.014112560590799,5.152678842592312,6.011458649691028,6.870238456789746,7.7290182638884675,8.587798070987185,9.446577878085906,10.30535768518462,11.16413749228334,12.022917299382058,12.881697106480777,13.740476913579492,114.25655510891022
Federal revenue changes,Survivor wage taxes,flow,3.038401894103903,-3.7704711266063575,-8.947248457086017,-15.49030631796077,-22.260717119946943,-30.774496342614196,-36.71552106432637,-42.40619742923675,-47.59928090732187,-52.70838902582471,-57.74111852837335,-62.744644964421944,-67.70903267674068,-72.62337289713025,-77.4638383961756,-595.9162333596619
Federal revenue changes,Overflow corporate tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Automation (robot) tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,UBI recapture,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Tax on UI benefits,flow,1.1826002169419412,0.8002923037999031,0.9396204340191913,1.0789485642384793,1.2182766944577685,0.869956368909546,0.869956368909548,0.869956368909548,0.869956368909546,0.8699563689095478,0.8699563689095461,0.869956368909548,0.8699563689095481,0.8699563689095459,0.8699563689095478,13.919301902552759
Federal revenue changes,Income tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
