group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Total
Federal revenue changes,Income tax,flow,-26.895734058616554,-52.54198150203911,-76.09715830339695,-98.3299558379484,-120.08483741085858,-141.88127287019486,-158.18677710689406,-173.95107087205292,-189.59919141628077,-205.32910974190077,-1242.897089120183
Federal revenue changes,Payroll (FICA),flow,-26.280074772416878,-50.79900126484042,-72.80010036980194,-93.16171203957542,-112.81685427386005,-132.34261224086876,-145.75909969537793,-158.59798948114036,-171.2997479097472,-184.0708955047068,-1147.9280875523357
Federal revenue changes,Corporate recovery,flow,22.517847375613638,46.597699471713504,72.23955628829961,99.44341782537192,128.20928408293048,158.53715506097524,184.96001423780447,211.38287341463368,237.80573259146288,264.22859176829206,1425.9221721170975
Federal revenue changes,Compute-pool tax,flow,6.286011209047186,12.990365382938053,20.113062521672596,27.654102625250815,35.613485693672715,43.99121172693829,51.32308034809467,58.65494896925105,65.98681759040743,73.31868621156381,395.9317722788366
Federal revenue changes,Survivor wage taxes,flow,0.0,-7.847056526503042,-14.536393286973782,-19.85696992492251,-24.169714567673577,-27.824482821824564,-31.161958063666656,-32.04151934983077,-32.6642828477187,-33.159023361401935,-223.26140075051552
Federal revenue changes,Overflow corporate tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Automation (robot) tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,UBI recapture,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Tax on UI benefits,flow,2.168100397726893,2.365739978298711,2.5633795588705293,2.761019139442346,2.958658720014164,3.1562983005859806,2.66219934915644,2.662199349156437,2.662199349156437,2.662199349156436,26.62199349156437
Federal revenue changes,Income tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Capital tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Excise surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
