group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Total
Federal revenue changes,Income tax,flow,-195.60533860812035,-450.1145709585353,-803.3954096363423,-1128.8317698822475,-1424.7074960887016,-1469.8916057874217,-1437.0496586688869,-1408.3989706674183,-1383.6632679154234,-1362.3075856154492,-11063.965673828545
Federal revenue changes,Payroll (FICA),flow,-191.12781652666814,-447.6584703121103,-807.9213165907993,-1132.334224406062,-1427.7299786984213,-1471.7108752104566,-1436.804599052474,-1406.3464250568416,-1380.0502209906113,-1357.3472727314036,-11059.03119957585
Federal revenue changes,Corporate recovery,flow,232.911875885135,492.1001372292693,816.0517413609826,1067.1445848566693,1318.0525354183105,1402.4810777501903,1402.9970451825122,1402.9970451825122,1402.9970451825122,1402.9970451825122,10940.730133230607
Federal revenue changes,Windfall capital gains,flow,0.0,5.982372821415551,12.230478644440618,19.741106882321798,25.249807511938474,30.597485022956672,32.6948465689866,31.40673762498863,30.15046811998908,28.94444939518952,216.99775259222693
Federal revenue changes,Compute-pool tax,flow,16.932016724706223,35.49617093821536,58.52125033727484,76.52778890259016,94.5220818648808,101.0928892053601,101.12829249724894,101.12829249724894,101.12829249724894,101.12829249724894,787.6053679620233
Federal revenue changes,Survivor wage taxes,flow,18.010442298487785,-102.869044848007,-174.16247996567452,-158.02798079156747,28.844802979847316,0.041407852927946624,0.0,0.0,0.0,0.0,-388.162852473986
Federal revenue changes,Overflow corporate tax,flow,0.0,0.0,0.0,0.0,2.537577318573695,43.63567560492825,43.84365766195345,43.84365766195345,43.84365766195345,43.84365766195345,221.54788357131574
Federal revenue changes,Automation (robot) tax,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,UBI recapture,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,SWF profit share,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Federal VAT,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Tax on UI benefits,flow,15.768002892559219,19.46006378967666,25.54509621245825,18.69943473682895,18.688734554053262,7.042035023012346,0.04355185217556896,0.0,0.0,0.0,105.24691906076427
Federal revenue changes,Income tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Capital tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Excise surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Δ Federal revenue,subtotal,-103.11081733390026,-447.60334134007564,-873.1306396376597,-1237.0810597014668,-1364.5419351395185,-1356.7119105385025,-1293.1468639584841,-1235.3696627575562,-1185.5940254443306,-1142.7414136099485,-10239.031669461443
Federal outlay changes,Means-tested transfers,flow,79.5050807160451,216.36702751339556,415.1164170454994,599.9808918261211,760.5590662519921,796.1592603855261,783.1780771887721,765.168392284645,749.5906883204319,736.1416062321555,5901.766507764583
Federal outlay changes,Unemployment insurance,flow,157.68002892559215,194.6006378967666,255.45096212458253,186.99434736828954,186.8873455405326,70.42035023012345,0.4355185217556896,0.0,0.0,0.0,1052.4691906076425
Federal outlay changes,SSDI,flow,0.0,29.397941462815886,100.037030644311,227.98349015953858,397.18174870995324,598.8762500325532,787.3265351834209,950.1063233178843,1090.6429991952791,1211.9759821965408,5393.528300902297
Federal outlay changes,UBI (gross),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal outlay changes,Δ Federal outlays,subtotal,237.18510964163727,440.36560687297805,770.604409814393,1014.9587293539494,1344.6281605024778,1465.4558606482028,1570.9401308939487,1715.2747156025293,1840.2336875157112,1948.1175884286963,12347.763999274523
Net,Net fiscal impact (federal),net,-340.29592697553755,-887.9689482130536,-1643.7350494520526,-2252.039789055416,-2709.1700956419963,-2822.167771186705,-2864.086994852433,-2950.6443783600853,-3025.827712960042,-3090.8590020386446,-22586.795668735966
Levels,Federal revenue (absolute),level,4879.689182666099,4535.196658659925,4109.669360362341,3745.7189402985337,3618.2580648604817,3626.0880894614975,3689.6531360415156,3747.430337242444,3797.205974555669,3840.0585863900515,3840.0585863900515
Levels,Federal deficit (absolute),level,2173.2959269755374,2720.968948213054,3476.7350494520524,4085.0397890554154,4542.170095641997,4655.167771186705,4697.086994852433,4783.644378360085,4858.827712960042,4923.8590020386455,4923.8590020386455
Levels,Federal debt (Δ cumulative),level,340.29592697553755,1241.876712267613,2935.28683021037,5304.738092474201,8226.097711815166,11377.309391474477,14696.48876198589,18234.99269082541,21990.220111418468,25960.687917913852,25960.687917913852
Levels,Deficit (% of GDP),level,6.7570842919893845,7.136235554454723,7.603786977541312,7.675770120170038,7.372197858614074,6.842261962472965,6.391716523848276,6.02731698802663,5.6685618629508765,5.318917367632992,5.318917367632992
State & local,State income tax,flow,-47.705370229559435,-111.70003784588577,-201.43906939533605,-283.0960729839636,-356.8506806034653,-365.7940081336229,-357.321181468554,-350.00758746357764,-343.69336257143567,-338.2419475815666,-2755.849318276967
State & local,State consumption tax,flow,-15.338884708076508,-39.52670965693715,-73.38888880501403,-106.21350878103458,-134.9098440005944,-141.59631158896133,-139.58341101967522,-136.6088307879444,-134.0325741458997,-131.80835117061886,-1053.0073146647562
State & local,Survivor wage taxes (state),flow,2.2771096159245756,-13.010281426878338,-21.915801961539014,-19.627311396784584,3.2017305526209454,5.105178281322857e-05,0.0,0.0,0.0,0.0,-49.0745035648736
State & local,State income surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State corporate surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State consumption surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
