group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Total
⓪ Tax-regime surcharges,Baseline surcharges (income+capital+consumption dials),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
① Labour → capital,Labour taxes lost (displaced),flow,-434.4385253643479,-1009.4730791165313,-1812.7557956224775,-2544.2620672722733,-3209.288155390588,-3307.396489131501,-3231.1754391899153,-3164.7529831878373,-3107.40685147747,-3057.89680592842,-24878.84619168136
① Labour → capital,Labour taxes gained (survivors),flow,20.28755191441236,-115.87932627488533,-196.07828192721354,-177.65529218835206,32.04653353246826,0.04145890471075985,0.0,0.0,0.0,0.0,-437.23735603885956
① Labour → capital,Capital-side recoveries,flow,249.84389260984122,527.5963081674847,874.5729916982575,1143.6723737592595,1415.1121946017652,1547.2096425604786,1547.9689953417148,1547.9689953417148,1547.9689953417148,1547.9689953417148,11949.883384763945
① Labour → capital,Channel 1 net,subtotal,-164.30708084009436,-597.7560972239319,-1134.2610858514336,-1578.244985701366,-1762.1294272563546,-1760.1453876663113,-1683.2064438482005,-1616.7839878461225,-1559.437856135755,-1509.927810586705,-13366.200162956276
② Resident → non-resident,"Offshore leakage (untaxed, memo)",memo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
③ Taxable → consumer surplus,"Consumer price gains (untaxed, memo)",memo,203.18420069647465,425.9540512585841,702.2550040472981,918.3334668310819,1145.911599955909,1414.4153665778197,1415.7960949614846,1415.7960949614846,1415.7960949614846,1415.7960949614846,10473.238069213105
③ Taxable → consumer surplus,Consumption tax change,flow,-15.338884708076508,-39.52670965693715,-73.38888880501403,-106.21350878103458,-134.9098440005944,-141.59631158896133,-139.58341101967522,-136.6088307879444,-134.0325741458997,-131.80835117061886,-1053.0073146647562
④ Government spending,Net new spending (transfers+UI+SSDI+UBI),flow,243.6831801233689,483.059954589082,864.8526822108881,1170.8870949668064,1547.6170413766927,1690.7981822017607,1799.7232924670632,1938.5814324346193,2058.7682586542137,2162.532105718589,13960.503224743085
Net,Net fiscal impact (federal + state),net,-423.3291456715398,-1120.342761469951,-2072.5026568673356,-2855.345589449207,-3444.6563126336414,-3592.5398814570335,-3622.513147334939,-3691.9742510686865,-3752.2386889358686,-3804.2682674759126,-28379.710702364115
